,0,1,2,3,4,5,6,7,8,9,10
ECOG_RIGHT_Sharpwave_Max_sharpness_range_5_80,-0.24180824032318016,-0.15881602315119614,-0.07149639505510336,-0.036252809877755254,-0.09181771132759403,-0.09212790380200947,-0.1279359358974549,-0.055565078019725156,-0.08818307984990592,-0.12090841972161098,-0.11637145577346458
ECOG_RIGHT_Sharpwave_Max_prominence_range_5_30,-0.23779383164751655,-0.1589351222958434,-0.07882480483976884,-0.036107622106663184,-0.09061157420115695,-0.09127919702186127,-0.12930424683955494,-0.05407183177724839,-0.0849397814084526,-0.1205511026883499,-0.12339717914301573
ECOG_RIGHT_Sharpwave_Mean_interval_range_5_30,-0.2470262641281193,-0.15738340729615913,-0.07526078187098956,-0.03352791334972527,-0.08955961335355095,-0.09346800611691891,-0.13554845668812565,-0.050696331803260386,-0.08467084583693085,-0.1250023265498857,-0.12399100345458092
ECOG_RIGHT_Sharpwave_Max_sharpness_range_5_30,-0.25816515656451955,-0.15664282420304415,-0.07393269144276421,-0.032798263635464786,-0.09104092524889812,-0.09198700558994127,-0.13987838277340853,-0.05322787837622306,-0.08598562985662261,-0.12382563379634098,-0.12499860925545292
ECOG_LEFT_fooof_a_exp,-0.2537649876951764,-0.15705454564688764,-0.075429283797466,-0.03379105086112266,-0.09425758854660526,-0.0906947096222046,-0.1389366862155767,-0.05226708821038578,-0.08223536979260115,-0.12211707652861309,-0.12735921413750834
ECOG_LEFT_fooof_a_offset,-0.2556347019818396,-0.15609169824753572,-0.07447988757367613,-0.032650501674808985,-0.09301435386828633,-0.09308799684825692,-0.1391481610350645,-0.05425729138904206,-0.08541694509694853,-0.12197326396158392,-0.1268267378695
ECOG_RIGHT_fooof_a_exp,-0.2539641760985966,-0.1625573755712521,-0.058776148565885256,-0.029459193801234518,-0.0894886516901715,-0.09254594372022529,-0.1359077265348183,-0.04881889428689273,-0.08373518008655911,-0.12349641459006055,-0.12781155043971815
ECOG_RIGHT_fooof_a_offset,-0.2588426486547149,-0.16154990201583386,-0.06904224836432893,-0.030411349242697505,-0.0912055889833413,-0.09377677525217532,-0.13852193792604683,-0.05275643486803577,-0.08446540959206938,-0.1208432717280617,-0.12488063002184485
ECOG_LEFT_bursts_low beta_duration_mean,-0.2560000877420419,-0.15809474804301799,-0.06622978074441466,-0.030103112068027404,-0.093505403499622,-0.09418535139396617,-0.13648357417434892,-0.049995472606183866,-0.08314236652732998,-0.12184137599091233,-0.12217657049251907
ECOG_LEFT_bursts_low beta_amplitude_mean,-0.25001950813524165,-0.15942410076200325,-0.0722562080222533,-0.03299037644292835,-0.09614443219403779,-0.09337362189997855,-0.14381991001588135,-0.05044615985706469,-0.0898847973976219,-0.1280603580720464,-0.12934163480500654
